id_venda;data_venda;loja;categoria;produto;quantidade;preco_unitario;valor_total;forma_pagamento;canal;tempo_preparo_min;avaliacao_cliente
100263;26/01/2025;Espinheiro;Bebida gelada;Frappê;2;18,00;36,00;Pix;Balcão;7,0;
100656;04/06/2025;Casa forte;Bebida quente;Latte;2;13,50;27,00;Débito;Delivery;9,9;5
100557;30/03/2025;Casa Forte;Bebida gelada;Água de coco;2;8,00;16,00;Crédito;Balcão;2,9;
100616;17/05/2025;Casa Forte;Bebida quente;Café expresso;4;6,50;26,00;Crédito;Balcão;9,3;4
100328;26/04/2025;Boa Viagem;Doce;Cookie;2;9,52;19,04;Dinheiro;App;5,8;4
101180;17/05/2025;Casa Forte;Salgado;Sanduíche natural;2;19,00;38,00;Débito;Balcão;5,4;3
100592;25/02/2025;Boa Viagem;Bebida quente;Cappuccino;4;13,44;53,76;Crédito;Balcão;7,2;4
100031;25/06/2025;Recife Antigo;Salgado;Tapioca;2;13,30;26,60;Pix;Balcão;5,1;4
100243;06/04/2025;Espinheiro;Bebida quente;Latte;2;13,50;27,00;Crédito;Delivery;6,2;5
101082;17/06/2025;Boa Viagem;Doce;Cookie;3;9,52;28,56;Débito;Delivery;6,7;4
100713;13/06/2025;boa viagem;Bebida gelada;Frappê;2;20,16;40,32;Crédito;Balcão;7,1;4
100019;25/04/2025;Recife Antigo;Bebida quente;Chá artesanal;2;8,55;17,10;Pix;App;1,5;5
100370;18/05/2025;Boa Viagem;Bebida quente;Café expresso;1;7,28;7,28;Crédito;Delivery;8,0;5
101145;28/02/2025;Casa Forte;Doce;Brownie;1;12,50;12,50;Débito;Delivery;5,8;4
100452;09/05/2025;Boa Viagem;Bebida quente;Café expresso;2;7,28;14,56;Dinheiro;Delivery;5,5;4
100235;26/05/2025;Recife Antigo;Bebida quente;Latte;3;12,82;38,46;Crédito;App;8,9;5
100769;23/04/2025;Boa Viagem;Doce;Cookie;1;9,52;9,52;Débito;Balcão;8,3;5
100881;20/04/2025;Boa Viagem;Bebida quente;Latte;2;15,12;30,24;Pix;Balcão;3,7;
100439;25/04/2025;Espinheiro;Bebida quente;Cappuccino;1;12,00;12,00;Crédito;Balcão;4,6;5
100896;20/02/2025;Espinheiro;Bebida gelada;Cold brew;2;15,00;30,00;Pix;Balcão;4,2;5
101177;08/03/2025;Espinheiro;Salgado;Tapioca;1;14,00;14,00;;Delivery;7,1;5
100709;28/03/2025;Recife Antigo;Bebida quente;Chá artesanal;1;8,55;8,55;Pix;Balcão;6,2;4
100180;11/06/2025;Espinheiro;Salgado;Sanduíche natural;2;19,00;38,00;Pix;Balcão;10,4;2
100123;17/03/2025;Casa Forte;Doce;Cookie;2;8,50;17,00;Pix;App;6,3;3
100644;23/04/2025;Boa Viagem;Doce;Cartola;2;19,04;38,08;Dinheiro;Delivery;6,3;3
101056;14/06/2025;Espinheiro;Bebida quente;Café expresso;2;6,50;13,00;Pix;Balcão;5,0;4
100851;06/02/2025;Espinheiro;Bebida gelada;Frappê;1;18,00;18,00;Crédito;Balcão;7,6;4
100357;25/05/2025;Recife Antigo;Salgado;Tapioca;3;13,30;39,90;Débito;Delivery;10,6;5
101120;01/05/2025;Boa Viagem;Bebida quente;Café expresso;1;7,28;7,28;Débito;Balcão;5,5;4
100633;09/03/2025;Espinheiro;Bebida quente;Chá artesanal;3;9,00;27,00;Pix;Balcão;6,0;4
101199;14/05/2025;Boa Viagem;Salgado;Pão de queijo;1;7,84;7,84;Pix;App;6,4;5
100502;16/06/2025;Espinheiro;Bebida quente;Cappuccino;1;12,00;12,00;Pix;Delivery;10,5;
100856;13/05/2025;Espinheiro;Bebida quente;Latte;1;13,50;13,50;Pix;Balcão;10,4;5
100499;04/04/2025;Boa Viagem;Bebida quente;Cappuccino;2;13,44;26,88;Pix;Balcão;7,7;4
100144;28/03/2025;Casa Forte;Doce;Cartola;1;17,00;17,00;Dinheiro;Balcão;4,9;4
100946;10/05/2025;Recife Antigo;Salgado;Tapioca;2;13,30;26,60;Pix;Balcão;6,2;
100232;25/06/2025;Casa Forte;Bebida gelada;Cold brew;3;15,00;45,00;Crédito;Delivery;6,1;4
100546;13/03/2025;Recife Antigo;Bebida quente;Chá artesanal;3;8,55;25,65;Dinheiro;Balcão;8,8;5
100597;26/04/2025;Casa Forte;Salgado;Coxinha;1;9,50;9,50;Pix;Balcão;11,0;5
100201;26/06/2025;Casa Forte;Salgado;Pão de queijo;1;7,00;7,00;Pix;Balcão;12,2;5
100590;18/06/2025;Recife Antigo;Bebida gelada;Frappê;1;17,10;17,10;Débito;Balcão;6,0;
100097;17/01/2025;Casa Forte;Salgado;Tapioca;1;14,00;14,00;Pix;Balcão;10,9;3
100349;18/01/2025;Boa Viagem ;Bebida quente;Latte;4;15,12;60,48;Pix;Balcão;7,2;4
100715;03/02/2025;Recife Antigo;Bebida quente;Cappuccino;1;11,40;11,40;Crédito;Balcão;8,1;5
100615;13/05/2025;Recife Antigo;Bebida gelada;Água de coco;1;7,60;7,60;Débito;Delivery;7,0;5
100824;01/06/2025;Recife Antigo;Salgado;Sanduíche natural;3;18,05;54,15;Crédito;App;8,5;4
100994;17/06/2025;Espinheiro;Bebida quente;Cappuccino;2;12,00;24,00;Pix;Balcão;2,4;4
100632;07/01/2025;Recife Antigo;Bebida gelada;Suco de caju;2;10,45;20,90;Pix;Balcão;7,9;4
100925;15/02/2025;Espinheiro;Bebida gelada;Frappê;1;18,00;18,00;Pix;Balcão;7,8;5
100706;24/05/2025;Espinheiro;Doce;Brownie;1;12,50;12,50;Crédito;Balcão;8,4;3
100635;20/01/2025;Recife Antigo;Bebida quente;Latte;2;12,82;25,64;Dinheiro;Balcão;7,8;3
100190;19/06/2025;Espinheiro;Salgado;Pão de queijo;1;7,00;7,00;Crédito;Balcão;;5
100782;24/03/2025;Casa Forte;Bebida gelada;Frappê;1;18,00;18,00;;Balcão;7,9;5
100918;25/02/2025;Espinheiro;Doce;Brownie;1;12,50;12,50;Débito;Balcão;8,6;4
100121;28/04/2025;Recife Antigo;Bebida quente;Café expresso;2;6,17;12,34;Pix;Delivery;3,7;5
100157;30/04/2025;Casa Forte;Bebida quente;Chá artesanal;2;9,00;18,00;;Balcão;7,7;2
100884;05/02/2025;Boa Viagem;Bebida gelada;Cold brew;3;16,80;50,40;Dinheiro;Balcão;7,4;5
100953;30/01/2025;Casa Forte;Doce;Bolo de rolo (fatia);1;16,00;16,00;Débito;Balcão;5,8;5
101079;02/03/2025;Casa Forte;Bebida gelada;Frappê;2;18,00;36,00;Pix;Balcão;6,1;4
100343;18/04/2025;Espinheiro;Salgado;Sanduíche natural;1;19,00;19,00;Pix;Balcão;6,1;5
100940;17/02/2025;Casa Forte;Salgado;Sanduíche natural;4;19,00;76,00;Crédito;Balcão;7,9;5
100850;02/02/2025;Espinheiro;Bebida quente;Café expresso;1;6,50;6,50;Pix;Balcão;3,3;4
100636;03/05/2025;Espinheiro;Bebida quente;Chá artesanal;4;9,00;36,00;Pix;Balcão;4,3;
100107;19/02/2025;Espinheiro;Doce;Bolo de rolo (fatia);4;16,00;64,00;Crédito;App;7,7;2
100072;04/06/2025;Boa Viagem;Bebida quente;Latte;4;15,12;60,48;Débito;Balcão;6,3;3
100898;03/02/2025;Casa Forte;Bebida quente;Cappuccino;1;12,00;12,00;Débito;Balcão;6,1;4
101108;30/06/2025;Espinheiro;Doce;Bolo de rolo (fatia);1;16,00;16,00;Pix;Balcão;6,9;5
100596;08/05/2025;Boa Viagem;Salgado;Pão de queijo;1;7,84;7,84;Pix;Delivery;9,3;4
100061;27/03/2025;Casa Forte;Bebida gelada;Suco de caju;4;11,00;44,00;Crédito;Delivery;7,3;5
100380;11/04/2025;Casa Forte;Bebida quente;Café expresso;4;6,50;26,00;Pix;Balcão;9,9;4
100807;01/02/2025;Boa Viagem;Bebida quente;Chá artesanal;2;10,08;20,16;Débito;Balcão;4,3;3
100987;10/01/2025;Boa Viagem;Salgado;Tapioca;1;15,68;15,68;Crédito;Balcão;10,5;4
100954;20/06/2025;Recife Antigo;Bebida quente;Chá artesanal;4;8,55;34,20;Crédito;Balcão;6,2;4
101136;25/03/2025;Boa Viagem;Bebida gelada;Frappê;1;20,16;20,16;Crédito;Balcão;4,3;3
100058;26/01/2025;Casa Forte;Bebida gelada;Suco de caju;1;11,00;11,00;Débito;Delivery;6,5;3
100905;29/04/2025;Recife Antigo;Bebida quente;Café expresso;1;6,17;6,17;Dinheiro;Balcão;6,3;4
100724;19/01/2025;Espinheiro;Salgado;Tapioca;2;14,00;28,00;Dinheiro;Balcão;11,8;4
101064;28/02/2025;Recife Antigo;Bebida gelada;Suco de caju;1;10,45;10,45;Pix;Balcão;5,0;3
100829;16/02/2025;Espinheiro;Bebida quente;Chá artesanal;3;9,00;27,00;Dinheiro;App;7,6;4
100227;12/04/2025;Espinheiro;Bebida quente;Latte;2;13,50;27,00;Dinheiro;Delivery;9,6;4
101014;03/03/2025;Casa Forte;Salgado;Sanduíche natural;1;19,00;19,00;Crédito;Balcão;11,2;3
100886;13/03/2025;Boa Viagem;Bebida quente;Café expresso;1;7,28;7,28;Débito;App;9,1;5
100173;19/06/2025;Boa Viagem;Bebida gelada;Cold brew;1;16,80;16,80;Pix;App;6,0;4
101175;17/05/2025;Boa Viagem;Salgado;Tapioca;1;15,68;15,68;Pix;Balcão;5,5;
100416;26/01/2025;Espinheiro;Doce;Cookie;3;8,50;25,50;Crédito;Delivery;6,1;4
100150;31/05/2025;Casa Forte;Doce;Cartola;3;17,00;51,00;Crédito;Balcão;8,2;5
100407;01/06/2025;Espinheiro;Bebida quente;Latte;2;13,50;27,00;Pix;App;7,2;4
100550;27/03/2025;Casa Forte;Doce;Cookie;1;8,50;8,50;Pix;Balcão;1,8;5
100554;09/01/2025;Boa Viagem;Bebida quente;Chá artesanal;2;10,08;20,16;Crédito;Delivery;7,4;
101088;29/03/2025;Recife Antigo;Bebida quente;Cappuccino;1;11,40;11,40;Pix;Balcão;4,0;3
100085;17/01/2025;Casa Forte;Salgado;Sanduíche natural;2;19,00;38,00;Pix;Delivery;6,4;
100143;14/04/2025;Boa Viagem;Bebida gelada;Frappê;3;20,16;60,48;Pix;Balcão;4,4;5
100542;01/06/2025;Casa Forte;Bebida gelada;Água de coco;2;8,00;16,00;Débito;App;6,7;4
101011;19/04/2025;Recife Antigo;Bebida quente;Chá artesanal;2;8,55;17,10;Crédito;Balcão;5,3;4
100700;14/02/2025;Boa Viagem;Bebida quente;Chá artesanal;2;10,08;20,16;Pix;Balcão;6,1;4
100386;11/05/2025;Casa Forte;Salgado;Tapioca;2;14,00;28,00;Débito;Balcão;13,7;4
100792;27/02/2025;Casa Forte;Bebida quente;Chá artesanal;1;9,00;9,00;Pix;Balcão;4,1;4
100160;20/01/2025;Recife Antigo;Bebida quente;Café expresso;1;6,17;6,17;Crédito;Balcão;9,2;4
100103;25/06/2025;Boa Viagem;Bebida quente;Café expresso;1;7,28;7,28;Pix;Delivery;2,1;5
100362;22/01/2025;Recife Antigo;Bebida quente;Latte;1;12,82;12,82;Crédito;Balcão;3,0;4
100288;05/04/2025;Casa Forte;Bebida gelada;Cold brew;;15,00;15,00;Pix;Balcão;5,0;4
101151;08/06/2025;Casa forte;Bebida quente;Chá artesanal;2;9,00;18,00;Crédito;Balcão;2,6;4
100239;20/01/2025;Casa Forte;Bebida quente;Cappuccino;2;12,00;24,00;Pix;Balcão;8,0;3
100468;27/01/2025;Boa Viagem;Bebida quente;Chá artesanal;2;10,08;20,16;Débito;Balcão;7,1;4
101190;23/03/2025;Boa Viagem;Bebida gelada;Suco de caju;1;12,32;12,32;Pix;Delivery;5,0;3
100879;16/04/2025;Espinheiro;Bebida gelada;Água de coco;1;8,00;8,00;Pix;Balcão;6,9;4
101067;04/05/2025;Espinheiro;Bebida quente;Cappuccino;3;12,00;36,00;Pix;Delivery;5,8;3
100464;15/04/2025;Boa Viagem;Salgado;Tapioca;4;15,68;62,72;Dinheiro;Balcão;8,6;
100280;09/01/2025;Recife Antigo;Salgado;Sanduíche natural;1;18,05;18,05;Pix;App;8,8;4
101169;18/01/2025;Casa Forte;Salgado;Sanduíche natural;3;19,00;57,00;Pix;Balcão;5,9;5
100429;25/05/2025;Espinheiro;Bebida quente;Cappuccino;1;12,00;12,00;Pix;Balcão;6,0;4
101008;12/05/2025;Espinheiro;Bebida quente;Chá artesanal;1;9,00;9,00;Débito;Balcão;6,2;3
100321;29/03/2025;Casa Forte;Salgado;Sanduíche natural;1;19,00;19,00;Débito;Balcão;7,9;
100003;07/05/2025;Boa Viagem;Doce;Cartola;2;19,04;38,08;Débito;Balcão;9,9;5
101149;11/06/2025;Casa Forte;Bebida quente;Café expresso;1;6,50;6,50;Débito;Balcão;5,0;4
100920;18/01/2025;Boa Viagem;Doce;Bolo de rolo (fatia);4;17,92;71,68;Dinheiro;App;4,1;5
100095;25/04/2025;Casa Forte;Salgado;Pão de queijo;1;7,00;7,00;Dinheiro;Balcão;7,1;4
101020;11/06/2025;Casa Forte;Bebida quente;Chá artesanal;1;9,00;9,00;Pix;Balcão;3,8;5
100703;08/06/2025;Boa Viagem;Doce;Cartola;3;19,04;57,12;Débito;Delivery;3,4;4
100957;05/04/2025;Boa Viagem;Bebida quente;Café expresso;2;7,28;14,56;Pix;Balcão;9,4;4
100710;29/06/2025;Boa Viagem;Bebida gelada;Água de coco;4;8,96;35,84;Crédito;Balcão;7,9;5
100168;27/02/2025;Boa Viagem;Bebida quente;Latte;1;15,12;15,12;Débito;Balcão;12,6;5
101157;01/01/2025;Boa Viagem;Salgado;Pão de queijo;2;7,84;15,68;Débito;Balcão;6,8;4
100303;04/04/2025;Casa Forte;Bebida quente;Cappuccino;2;12,00;24,00;Pix;App;7,2;5
100164;11/04/2025;Casa Forte;Bebida gelada;Frappê;3;18,00;54,00;Crédito;Balcão;9,3;5
100768;20/01/2025;Recife Antigo;Bebida quente;Latte;1;12,82;12,82;Débito;Balcão;6,3;4
100147;05/04/2025;Espinheiro;Doce;Brownie;1;12,50;12,50;;Balcão;7,7;5
100355;05/04/2025;Boa Viagem;Bebida gelada;Suco de caju;4;12,32;49,28;Crédito;Balcão;9,1;4
101009;25/03/2025;Casa Forte;Salgado;Tapioca;1;14,00;14,00;Crédito;Delivery;4,0;4
100916;13/01/2025;Boa Viagem;Salgado;Coxinha;3;10,64;31,92;Crédito;Balcão;8,1;5
100073;12/02/2025;Recife Antigo;Bebida quente;Café expresso;3;6,17;18,51;Crédito;Balcão;7,3;4
100815;12/06/2025;Espinheiro;Doce;Cartola;2;17,00;34,00;Pix;Balcão;10,4;3
100391;23/01/2025;Recife Antigo;Salgado;Pão de queijo;1;6,65;6,65;Dinheiro;Balcão;9,9;5
100475;25/02/2025;Casa Forte;Bebida quente;Latte;1;13,50;13,50;Pix;App;4,3;
100378;11/03/2025;Boa Viagem;Salgado;Pão de queijo;;7,84;7,84;Pix;App;10,0;4
100137;29/03/2025;Casa Forte;Bebida gelada;Cold brew;4;15,00;60,00;Débito;Balcão;8,2;
100198;05/02/2025;Recife Antigo;Salgado;Tapioca;1;13,30;13,30;Dinheiro;Balcão;5,4;5
100726;15/02/2025;Recife Antigo;Doce;Cartola;1;16,15;16,15;Crédito;Delivery;5,4;5
100650;15/03/2025;Espinheiro;Bebida gelada;Frappê;3;18,00;54,00;Dinheiro;Balcão;9,0;3
100091;07/05/2025;Boa Viagem;Bebida gelada;Água de coco;1;8,96;8,96;Pix;App;6,4;5
100681;06/02/2025;Recife Antigo;Bebida gelada;Cold brew;1;14,25;14,25;Débito;Balcão;9,1;5
100951;15/02/2025;Espinheiro;Bebida gelada;Cold brew;1;15,00;15,00;Pix;App;5,3;
100376;19/06/2025;Espinheiro;Bebida quente;Café expresso;1;6,50;6,50;Pix;Balcão;7,8;4
100287;09/03/2025;Espinheiro;Salgado;Pão de queijo;1;7,00;7,00;Crédito;Delivery;9,9;4
100941;03/06/2025;Boa Viagem;Doce;Cookie;1;9,52;9,52;Pix;Delivery;5,7;5
100861;13/05/2025;boa viagem;Doce;Brownie;3;14,00;42,00;Pix;Balcão;5,0;
100293;19/01/2025;Boa Viagem;Bebida quente;Cappuccino;1;13,44;13,44;Dinheiro;Delivery;0,0;5
100249;19/03/2025;BOA VIAGEM;Doce;Cartola;2;19,04;38,08;Pix;Balcão;6,3;4
100760;10/05/2025;Boa Viagem;Doce;Brownie;1;14,00;14,00;Pix;Delivery;7,4;4
100115;05/06/2025;Boa Viagem;Salgado;Pão de queijo;1;7,84;7,84;Pix;Balcão;8,1;5
100697;18/04/2025;Recife Antigo;Doce;Bolo de rolo (fatia);1;15,20;15,20;Crédito;Balcão;4,7;4
100969;08/02/2025;Boa Viagem;Doce;Bolo de rolo (fatia);1;17,92;17,92;Crédito;Balcão;7,1;5
100857;08/06/2025;Boa Viagem;Bebida quente;Latte;1;15,12;15,12;Débito;Balcão;9,8;4
100873;10/03/2025;Boa Viagem;Bebida quente;Latte;2;15,12;30,24;Crédito;Balcão;6,2;4
101155;12/01/2025;Espinheiro;Salgado;Sanduíche natural;1;19,00;19,00;Crédito;Balcão;9,9;3
101030;12/04/2025;Boa Viagem;Bebida quente;Cappuccino;4;13,44;53,76;Pix;Balcão;9,4;4
100027;09/01/2025;Recife Antigo;Bebida quente;Cappuccino;1;11,40;11,40;Pix;Delivery;5,7;4
100469;03/04/2025;Casa Forte;Bebida gelada;Água de coco;2;8,00;16,00;Pix;Balcão;5,0;5
100527;30/06/2025;Casa Forte;Doce;Cartola;1;17,00;17,00;Débito;Delivery;7,5;4
100624;27/06/2025;Casa Forte;Salgado;Coxinha;4;9,50;38,00;Crédito;Balcão;12,2;5
100431;20/05/2025;Espinheiro;Bebida quente;Latte;1;13,50;13,50;Débito;Balcão;6,0;5
100574;04/06/2025;Boa Viagem;Bebida quente;Chá artesanal;2;10,08;20,16;Crédito;Delivery;5,4;5
101130;30/06/2025;Recife Antigo;Bebida gelada;Cold brew;4;14,25;57,00;Pix;Balcão;5,7;4
100238;04/01/2025;Boa Viagem;Bebida quente;Café expresso;1;7,28;7,28;Pix;Balcão;5,3;3
101083;02/06/2025;Espinheiro;Salgado;Tapioca;4;14,00;56,00;Débito;App;11,9;4
100472;22/01/2025;Espinheiro;Salgado;Sanduíche natural;3;19,00;57,00;Débito;Balcão;7,5;
101051;24/01/2025;Casa Forte;Bebida quente;Chá artesanal;2;9,00;18,00;Pix;Balcão;4,0;5
100131;17/06/2025;Boa Viagem;Bebida quente;Cappuccino;1;13,44;13,44;Pix;Balcão;6,6;3
101186;14/03/2025;Espinheiro;Salgado;Sanduíche natural;2;19,00;38,00;Dinheiro;Balcão;4,7;4
100330;14/05/2025;Casa Forte;Bebida gelada;Água de coco;2;8,00;16,00;Pix;Balcão;5,6;5
101018;08/01/2025;Espinheiro;Bebida quente;Cappuccino;1;12,00;12,00;Crédito;Balcão;4,9;4
100563;26/04/2025;Espinheiro;Bebida quente;Cappuccino;3;12,00;36,00;Pix;Balcão;4,2;4
100498;07/03/2025;Boa Viagem;Bebida quente;Cappuccino;3;13,44;40,32;Crédito;Balcão;5,7;5
101011;19/04/2025;Recife Antigo;Bebida quente;Chá artesanal;2;8,55;17,10;Crédito;Balcão;5,3;4
100877;28/02/2025;Recife Antigo;Bebida gelada;Cold brew;3;14,25;42,75;Pix;Balcão;4,3;5
100746;02/03/2025;Boa Viagem;Bebida gelada;Frappê;1;20,16;20,16;Débito;Delivery;2,4;3
100783;20/04/2025;Recife Antigo;Bebida quente;Café expresso;2;6,17;12,34;Débito;Delivery;1,5;4
101167;08/04/2025;Recife Antigo;Doce;Cartola;2;16,15;32,30;Débito;Balcão;5,8;5
101164;27/01/2025;Casa Forte;Bebida quente;Café expresso;3;6,50;19,50;Crédito;Delivery;10,0;4
100721;20/03/2025;Boa Viagem;Salgado;Coxinha;1;10,64;10,64;Débito;Delivery;9,9;4
100197;08/06/2025;Boa Viagem;Bebida gelada;Água de coco;1;8,96;8,96;Crédito;Balcão;7,7;4
100317;04/05/2025;Recife Antigo;Bebida quente;Latte;1;12,82;12,82;Pix;Balcão;6,9;
100565;02/05/2025;Casa Forte;Salgado;Coxinha;1;9,50;9,50;Crédito;Balcão;10,8;4
100779;05/06/2025;Recife Antigo;Bebida quente;Cappuccino;1;11,40;11,40;Débito;App;8,8;5
100352;13/04/2025;Casa Forte;Bebida quente;Chá artesanal;1;9,00;9,00;Pix;Delivery;5,2;3
101034;17/03/2025;Recife Antigo;Bebida quente;Chá artesanal;1;8,55;8,55;Crédito;Delivery;6,0;4
101071;21/04/2025;Espinheiro;Salgado;Sanduíche natural;1;19,00;19,00;Pix;Delivery;13,5;
101022;29/06/2025;Casa Forte;Bebida gelada;Suco de caju;3;11,00;33,00;Débito;App;6,6;5
100216;25/01/2025;Casa Forte;Bebida gelada;Água de coco;;8,00;24,00;Pix;Balcão;5,7;3
100585;25/04/2025;Boa Viagem;Salgado;Tapioca;4;15,68;62,72;Pix;Balcão;9,6;4
101002;24/01/2025;Espinheiro;Salgado;Pão de queijo;2;7,00;14,00;Débito;Balcão;6,9;5
100854;08/02/2025;Casa Forte;Salgado;Tapioca;2;14,00;28,00;Débito;Balcão;7,2;5
100540;29/06/2025;Boa Viagem;Bebida quente;Latte;2;15,12;30,24;Crédito;Delivery;10,0;4
100674;19/04/2025;Boa Viagem ;Bebida quente;Café expresso;1;7,28;7,28;Pix;Delivery;7,5;5
100617;04/03/2025;Boa Viagem;Doce;Cookie;2;9,52;19,04;Crédito;Delivery;5,9;3
100787;27/02/2025;Boa Viagem;Bebida gelada;Cold brew;1;16,80;16,80;Pix;Balcão;7,8;3
100730;26/02/2025;Espinheiro;Doce;Cartola;4;17,00;68,00;Crédito;App;6,0;4
100673;08/05/2025;Casa Forte;Salgado;Tapioca;3;14,00;42,00;;Delivery;8,3;
100193;31/05/2025;Boa Viagem;Bebida quente;Cappuccino;2;13,44;26,88;Crédito;Balcão;8,5;5
100065;11/04/2025;Recife Antigo;Bebida quente;Cappuccino;1;11,40;11,40;Crédito;Balcão;8,2;5
100683;23/03/2025;Recife Antigo;Salgado;Pão de queijo;4;6,65;26,60;Débito;Delivery;9,4;4
100175;09/01/2025;Recife Antigo;Salgado;Tapioca;2;13,30;26,60;Crédito;Balcão;7,6;3
100999;21/02/2025;Boa Viagem;Doce;Brownie;2;14,00;28,00;Pix;App;5,5;4
100080;01/05/2025;Boa Viagem;Bebida quente;Cappuccino;1;13,44;13,44;Pix;App;6,7;4
101121;21/01/2025;Espinheiro;Bebida gelada;Frappê;1;18,00;18,00;Pix;Balcão;7,6;5
100742;06/06/2025;Espinheiro;Bebida quente;Chá artesanal;1;9,00;9,00;Pix;Balcão;9,0;4
100046;12/03/2025;Espinheiro;Bebida quente;Chá artesanal;1;9,00;9,00;Pix;Balcão;6,9;4
100594;02/01/2025;Boa Viagem;Bebida quente;Café expresso;3;7,28;21,84;Pix;Balcão;7,6;5
100935;07/02/2025;Boa Viagem;Bebida gelada;Água de coco;1;8,96;8,96;Dinheiro;Balcão;5,6;5
100474;20/02/2025;Espinheiro;Doce;Cookie;1;8,50;8,50;Pix;Balcão;5,6;
100083;31/01/2025;Boa Viagem;Salgado;Coxinha;1;10,64;10,64;Débito;Delivery;7,7;5
101100;02/01/2025;Espinheiro;Salgado;Sanduíche natural;2;19,00;38,00;Débito;Balcão;7,8;
100888;30/01/2025;Boa Viagem;Bebida quente;Cappuccino;1;13,44;13,44;Dinheiro;Balcão;7,5;3
100819;19/02/2025;Casa Forte;Bebida quente;Chá artesanal;2;9,00;18,00;Pix;Balcão;10,7;4
100671;14/04/2025;Boa Viagem;Bebida gelada;Frappê;1;20,16;20,16;Débito;Delivery;6,6;
100389;04/06/2025;Casa Forte;Bebida quente;Cappuccino;1;12,00;12,00;Pix;Balcão;3,5;4
100526;23/06/2025;Casa Forte;Doce;Cookie;1;8,50;8,50;Pix;Delivery;1,5;5
100004;18/01/2025;Recife Antigo;Bebida quente;Cappuccino;1;11,40;11,40;Pix;Balcão;4,5;5
100051;02/01/2025;Recife Antigo;Doce;Brownie;2;11,88;23,76;Dinheiro;App;5,6;5
100560;16/01/2025;Boa Viagem;Salgado;Pão de queijo;4;7,84;31,36;Débito;Balcão;8,6;5
100837;28/06/2025;Casa Forte;Salgado;Sanduíche natural;3;19,00;57,00;Pix;Delivery;6,1;5
100984;28/01/2025;Casa forte;Salgado;Pão de queijo;2;7,00;14,00;Crédito;Balcão;9,8;5
100686;18/03/2025;Recife Antigo;Bebida quente;Cappuccino;1;11,40;11,40;Pix;Balcão;5,9;5
100126;01/03/2025;Boa Viagem;Bebida quente;Cappuccino;1;13,44;13,44;Crédito;Delivery;3,5;4
100448;11/01/2025;Espinheiro;Bebida quente;Cappuccino;4;12,00;48,00;Dinheiro;Delivery;8,7;
